patent_id,title,filing_year,grant_year,country,assignee,technology_field,citations,inventor_count,patent_status,patent_family_size
PT000034,Innovative Pharmaceuticals System 34,2012,2014,South Korea,BioHealth Inc,Electric Vehicles,213,5,Pending,13
PT000035,Innovative Biotechnology System 35,2010,2013,Germany,Quantum Circuits Ltd,Biotechnology,227,2,Pending,9
PT000036,Innovative Telecommunications System 36,2014,2017,Switzerland,NextGen Robotics,Pharmaceuticals,52,5,Pending,8
PT000037,Innovative Biotechnology System 37,2018,2019,France,Quantum Circuits Ltd,Artificial Intelligence,0,6,Active,11
PT000038,Innovative Electric Vehicles System 38,2018,2020,Canada,MedGenome Labs,Robotics,143,1,Active,2
PT000039,Innovative Pharmaceuticals System 39,2014,2015,Switzerland,NanoWorks,Renewable Energy,110,3,Active,5
PT000040,Innovative Pharmaceuticals System 40,2021,2022,Japan,AI Dynamics,Semiconductors,170,2,Expired,13
PT000041,Innovative Semiconductors System 41,2023,2025,Germany,BioHealth Inc,Robotics,6,3,Pending,15
PT000042,Innovative Semiconductors System 42,2020,2024,South Korea,BioHealth Inc,Biotechnology,97,1,Expired,4
PT000043,Innovative Pharmaceuticals System 43,2016,2020,South Korea,NextGen Robotics,Semiconductors,6,4,Expired,6
PT000044,Innovative Telecommunications System 44,2018,2019,UK,AI Dynamics,Quantum Computing,102,6,Active,2
PT000045,Innovative Nanotechnology System 45,2018,2020,South Korea,TechNova Corp,Biotechnology,152,7,Expired,12
PT000046,Innovative Nanotechnology System 46,2020,2024,Canada,GreenFuture Labs,Robotics,230,4,Expired,1
PT000047,Innovative Quantum Computing System 47,2023,2024,Canada,AI Dynamics,Semiconductors,93,7,Active,11
PT000048,Innovative Biotechnology System 48,2020,2023,South Korea,NanoWorks,Telecommunications,170,7,Expired,7
PT000049,Innovative Semiconductors System 49,2019,2021,France,AI Dynamics,Robotics,173,3,Pending,10
PT000050,Innovative Quantum Computing System 50,2019,2023,USA,Quantum Circuits Ltd,Telecommunications,53,7,Pending,10
PT000051,Innovative Electric Vehicles System 51,2020,2024,India,AI Dynamics,Semiconductors,130,8,Pending,3
PT000052,Innovative Quantum Computing System 52,2012,2015,Switzerland,Global Energy Systems,Biotechnology,209,4,Pending,5
PT000053,Innovative Renewable Energy System 53,2017,2019,USA,TechNova Corp,Semiconductors,121,2,Expired,7
PT000054,Innovative Electric Vehicles System 54,2016,2020,France,NextGen Robotics,Renewable Energy,167,1,Active,13
PT000055,Innovative Renewable Energy System 55,2023,2025,Canada,SmartComm Technologies,Artificial Intelligence,142,4,Active,8
PT000056,Innovative Quantum Computing System 56,2014,2018,Canada,FutureDrive Motors,Pharmaceuticals,243,8,Pending,14
PT000057,Innovative Renewable Energy System 57,2023,2027,India,SmartComm Technologies,Telecommunications,192,4,Pending,5
PT000058,Innovative Telecommunications System 58,2025,2027,India,GreenFuture Labs,Telecommunications,60,5,Expired,6
PT000059,Innovative Renewable Energy System 59,2012,2014,Japan,InnovateX,Renewable Energy,180,4,Active,7
PT000060,Innovative Quantum Computing System 60,2023,2026,India,InnovateX,Artificial Intelligence,52,7,Expired,15
PT000061,Innovative Electric Vehicles System 61,2010,2014,USA,Global Energy Systems,Telecommunications,192,7,Expired,9
PT000062,Innovative Semiconductors System 62,2017,2021,South Korea,InnovateX,Electric Vehicles,7,7,Expired,11
PT000063,Innovative Electric Vehicles System 63,2022,2024,Germany,FutureDrive Motors,Quantum Computing,6,7,Pending,10
PT000064,Innovative Robotics System 64,2010,2011,Germany,SmartComm Technologies,Renewable Energy,12,5,Expired,6
PT000065,Innovative Pharmaceuticals System 65,2016,2020,UK,InnovateX,Telecommunications,192,7,Expired,14
PT000066,Innovative Artificial Intelligence System 66,2012,2016,Canada,TechNova Corp,Pharmaceuticals,57,2,Pending,1
PT000067,Innovative Semiconductors System 67,2010,2012,USA,FutureDrive Motors,Renewable Energy,61,3,Expired,11
PT000068,Innovative Electric Vehicles System 68,2013,2015,South Korea,Global Energy Systems,Renewable Energy,155,2,Active,5
PT000069,Innovative Telecommunications System 69,2013,2014,Switzerland,AI Dynamics,Robotics,101,4,Active,10
PT000070,Innovative Telecommunications System 70,2017,2018,Switzerland,GreenFuture Labs,Nanotechnology,200,1,Expired,9
PT000071,Innovative Biotechnology System 71,2023,2026,Canada,AI Dynamics,Pharmaceuticals,3,7,Expired,2
PT000072,Innovative Electric Vehicles System 72,2023,2026,Germany,InnovateX,Renewable Energy,187,5,Pending,13
PT000073,Innovative Robotics System 73,2025,2029,Switzerland,Quantum Circuits Ltd,Pharmaceuticals,218,4,Active,5
PT000074,Innovative Electric Vehicles System 74,2024,2026,Switzerland,FutureDrive Motors,Robotics,86,1,Expired,14
PT000075,Innovative Electric Vehicles System 75,2020,2022,Japan,Global Energy Systems,Telecommunications,87,5,Pending,12
PT000076,Innovative Quantum Computing System 76,2018,2019,Japan,GreenFuture Labs,Semiconductors,184,7,Expired,9
PT000077,Innovative Electric Vehicles System 77,2017,2021,India,TechNova Corp,Biotechnology,75,4,Expired,12
PT000078,Innovative Nanotechnology System 78,2017,2020,UK,SmartComm Technologies,Quantum Computing,135,6,Expired,12
PT000079,Innovative Electric Vehicles System 79,2020,2023,South Korea,Quantum Circuits Ltd,Telecommunications,59,2,Pending,4
PT000080,Innovative Quantum Computing System 80,2020,2021,Germany,NextGen Robotics,Semiconductors,189,8,Expired,12
PT000081,Innovative Semiconductors System 81,2019,2020,South Korea,NextGen Robotics,Pharmaceuticals,45,5,Active,12
PT000082,Innovative Artificial Intelligence System 82,2014,2017,USA,NanoWorks,Telecommunications,178,3,Pending,14
PT000083,Innovative Artificial Intelligence System 83,2025,2026,Switzerland,Quantum Circuits Ltd,Electric Vehicles,122,8,Expired,3
PT000084,Innovative Electric Vehicles System 84,2011,2014,China,GreenFuture Labs,Robotics,125,2,Pending,11
PT000085,Innovative Renewable Energy System 85,2011,2013,Switzerland,Quantum Circuits Ltd,Biotechnology,63,2,Pending,13
PT000086,Innovative Quantum Computing System 86,2023,2025,France,SmartComm Technologies,Electric Vehicles,76,7,Expired,10
PT000087,Innovative Semiconductors System 87,2011,2012,Japan,Quantum Circuits Ltd,Biotechnology,40,4,Active,9
PT000088,Innovative Artificial Intelligence System 88,2012,2014,France,SmartComm Technologies,Nanotechnology,120,5,Active,4
PT000089,Innovative Electric Vehicles System 89,2019,2022,China,AI Dynamics,Semiconductors,236,5,Pending,10
PT000090,Innovative Biotechnology System 90,2016,2020,Canada,NextGen Robotics,Renewable Energy,232,5,Active,2
PT000091,Innovative Telecommunications System 91,2011,2013,Switzerland,MedGenome Labs,Nanotechnology,235,5,Expired,2
PT000092,Innovative Robotics System 92,2024,2027,South Korea,NanoWorks,Quantum Computing,126,8,Active,10
PT000093,Innovative Pharmaceuticals System 93,2011,2015,Switzerland,Quantum Circuits Ltd,Artificial Intelligence,23,4,Pending,14
PT000094,Innovative Nanotechnology System 94,2010,2013,USA,BioHealth Inc,Electric Vehicles,132,8,Expired,3
PT000095,Innovative Biotechnology System 95,2023,2027,India,Global Energy Systems,Robotics,85,6,Pending,2
PT000096,Innovative Robotics System 96,2015,2018,India,Quantum Circuits Ltd,Robotics,208,1,Expired,2
PT000097,Innovative Pharmaceuticals System 97,2020,2023,China,InnovateX,Quantum Computing,211,1,Pending,14
PT000098,Innovative Artificial Intelligence System 98,2024,2028,Japan,NanoWorks,Pharmaceuticals,159,8,Pending,8
PT000099,Innovative Telecommunications System 99,2011,2013,Canada,BioHealth Inc,Telecommunications,112,8,Active,1
PT000100,Innovative Telecommunications System 100,2017,2019,Canada,TechNova Corp,Quantum Computing,104,2,Active,14
PT000101,Innovative Biotechnology System 101,2013,2017,Germany,SmartComm Technologies,Telecommunications,130,5,Expired,14
PT000102,Innovative Semiconductors System 102,2025,2029,India,NanoWorks,Renewable Energy,98,4,Pending,9
PT000103,Innovative Telecommunications System 103,2014,2015,France,Global Energy Systems,Quantum Computing,68,1,Expired,12
PT000104,Innovative Renewable Energy System 104,2019,2023,India,NanoWorks,Electric Vehicles,88,6,Pending,13
PT000105,Innovative Pharmaceuticals System 105,2022,2026,Japan,MedGenome Labs,Semiconductors,146,7,Active,14
PT000106,Innovative Pharmaceuticals System 106,2023,2024,India,MedGenome Labs,Robotics,98,3,Expired,1
PT000107,Innovative Biotechnology System 107,2014,2017,India,GreenFuture Labs,Quantum Computing,233,8,Active,12
PT000108,Innovative Renewable Energy System 108,2014,2018,China,SmartComm Technologies,Telecommunications,86,7,Pending,2
PT000109,Innovative Pharmaceuticals System 109,2020,2024,India,NanoWorks,Artificial Intelligence,158,2,Active,11
PT000110,Innovative Biotechnology System 110,2019,2021,France,GreenFuture Labs,Biotechnology,113,3,Pending,5
PT000111,Innovative Pharmaceuticals System 111,2010,2011,USA,Quantum Circuits Ltd,Pharmaceuticals,95,7,Active,4
PT000112,Innovative Renewable Energy System 112,2023,2025,Germany,GreenFuture Labs,Nanotechnology,222,7,Pending,11
PT000113,Innovative Nanotechnology System 113,2017,2021,Germany,NextGen Robotics,Electric Vehicles,163,5,Expired,5
PT000114,Innovative Telecommunications System 114,2010,2014,Canada,BioHealth Inc,Biotechnology,113,6,Pending,5
PT000115,Innovative Electric Vehicles System 115,2023,2026,South Korea,NextGen Robotics,Robotics,218,8,Active,4
PT000116,Innovative Nanotechnology System 116,2022,2025,South Korea,MedGenome Labs,Telecommunications,5,7,Expired,1
PT000117,Innovative Telecommunications System 117,2011,2015,Japan,FutureDrive Motors,Pharmaceuticals,56,4,Pending,5
PT000118,Innovative Artificial Intelligence System 118,2014,2015,South Korea,SmartComm Technologies,Artificial Intelligence,148,6,Pending,3
PT000119,Innovative Pharmaceuticals System 119,2012,2015,France,BioHealth Inc,Semiconductors,33,6,Pending,9
PT000120,Innovative Telecommunications System 120,2018,2020,India,Quantum Circuits Ltd,Pharmaceuticals,205,2,Expired,2
PT000121,Innovative Robotics System 121,2014,2016,Canada,Global Energy Systems,Biotechnology,202,7,Active,5
PT000122,Innovative Pharmaceuticals System 122,2013,2017,South Korea,FutureDrive Motors,Robotics,210,6,Active,11
PT000123,Innovative Artificial Intelligence System 123,2017,2021,Switzerland,NanoWorks,Pharmaceuticals,234,4,Pending,2
PT000124,Innovative Robotics System 124,2024,2027,China,BioHealth Inc,Artificial Intelligence,242,1,Expired,8
PT000125,Innovative Semiconductors System 125,2013,2014,Canada,BioHealth Inc,Robotics,116,6,Pending,12
PT000126,Innovative Robotics System 126,2023,2025,China,SmartComm Technologies,Nanotechnology,104,5,Active,12
PT000127,Innovative Electric Vehicles System 127,2021,2023,India,NextGen Robotics,Pharmaceuticals,25,6,Pending,15
PT000128,Innovative Robotics System 128,2021,2022,South Korea,NextGen Robotics,Biotechnology,242,8,Active,11
PT000129,Innovative Artificial Intelligence System 129,2016,2017,UK,NextGen Robotics,Renewable Energy,201,4,Active,14
PT000130,Innovative Semiconductors System 130,2016,2018,UK,BioHealth Inc,Nanotechnology,0,5,Active,3
PT000131,Innovative Biotechnology System 131,2018,2020,USA,BioHealth Inc,Artificial Intelligence,91,4,Pending,6
PT000132,Innovative Telecommunications System 132,2010,2012,USA,BioHealth Inc,Robotics,134,2,Pending,2
PT000133,Innovative Pharmaceuticals System 133,2025,2029,Canada,FutureDrive Motors,Biotechnology,115,4,Pending,1
PT000134,Innovative Artificial Intelligence System 134,2019,2023,USA,SmartComm Technologies,Robotics,109,2,Expired,12
PT000135,Innovative Biotechnology System 135,2024,2025,UK,FutureDrive Motors,Renewable Energy,16,3,Expired,10
PT000136,Innovative Nanotechnology System 136,2020,2024,Canada,Quantum Circuits Ltd,Electric Vehicles,129,7,Active,13
PT000137,Innovative Robotics System 137,2013,2015,India,NextGen Robotics,Robotics,86,8,Expired,7
PT000138,Innovative Robotics System 138,2013,2016,UK,AI Dynamics,Telecommunications,95,3,Pending,15
PT000139,Innovative Biotechnology System 139,2025,2026,China,GreenFuture Labs,Robotics,24,6,Active,9
PT000140,Innovative Biotechnology System 140,2011,2014,France,Global Energy Systems,Robotics,222,1,Expired,10
PT000141,Innovative Biotechnology System 141,2019,2022,Switzerland,NanoWorks,Semiconductors,39,8,Active,14
PT000142,Innovative Quantum Computing System 142,2013,2016,UK,GreenFuture Labs,Telecommunications,146,4,Expired,14
PT000143,Innovative Artificial Intelligence System 143,2010,2013,Germany,Quantum Circuits Ltd,Telecommunications,235,6,Expired,1
PT000144,Innovative Nanotechnology System 144,2015,2017,France,GreenFuture Labs,Renewable Energy,189,1,Active,12
PT000145,Innovative Robotics System 145,2016,2020,India,Global Energy Systems,Renewable Energy,94,5,Pending,6
PT000146,Innovative Renewable Energy System 146,2012,2013,Germany,FutureDrive Motors,Artificial Intelligence,172,2,Expired,8
PT000147,Innovative Nanotechnology System 147,2023,2027,India,InnovateX,Telecommunications,55,2,Expired,7
PT000148,Innovative Nanotechnology System 148,2013,2016,India,NanoWorks,Telecommunications,11,4,Expired,10
PT000149,Innovative Semiconductors System 149,2011,2012,South Korea,NextGen Robotics,Renewable Energy,195,5,Expired,6
PT000150,Innovative Electric Vehicles System 150,2013,2014,France,BioHealth Inc,Renewable Energy,97,4,Pending,9
PT000151,Innovative Robotics System 151,2021,2022,USA,InnovateX,Artificial Intelligence,117,2,Expired,10
PT000152,Innovative Robotics System 152,2023,2027,South Korea,GreenFuture Labs,Robotics,5,6,Active,13
PT000153,Innovative Biotechnology System 153,2024,2027,France,GreenFuture Labs,Semiconductors,111,7,Pending,2
PT000154,Innovative Pharmaceuticals System 154,2022,2025,Japan,Global Energy Systems,Renewable Energy,19,2,Pending,9
PT000155,Innovative Pharmaceuticals System 155,2016,2019,Germany,NextGen Robotics,Biotechnology,37,5,Active,3
PT000156,Innovative Renewable Energy System 156,2014,2015,India,SmartComm Technologies,Nanotechnology,194,8,Pending,15
PT000157,Innovative Renewable Energy System 157,2020,2023,India,GreenFuture Labs,Electric Vehicles,113,5,Expired,10
PT000158,Innovative Quantum Computing System 158,2011,2014,China,Quantum Circuits Ltd,Electric Vehicles,115,1,Active,6
PT000159,Innovative Biotechnology System 159,2019,2020,Switzerland,FutureDrive Motors,Quantum Computing,98,8,Pending,9
PT000160,Innovative Nanotechnology System 160,2011,2015,Japan,Global Energy Systems,Nanotechnology,121,3,Active,8
PT000161,Innovative Biotechnology System 161,2013,2016,Canada,AI Dynamics,Renewable Energy,10,4,Pending,8
PT000162,Innovative Pharmaceuticals System 162,2024,2026,UK,Quantum Circuits Ltd,Robotics,104,6,Pending,10
PT000163,Innovative Biotechnology System 163,2011,2014,UK,GreenFuture Labs,Quantum Computing,173,7,Expired,5
PT000164,Innovative Biotechnology System 164,2014,2017,Switzerland,AI Dynamics,Renewable Energy,234,6,Expired,11
PT000165,Innovative Nanotechnology System 165,2022,2024,China,Quantum Circuits Ltd,Quantum Computing,96,6,Active,11
PT000166,Innovative Quantum Computing System 166,2012,2016,UK,TechNova Corp,Pharmaceuticals,79,3,Active,6
PT000167,Innovative Semiconductors System 167,2025,2027,Germany,BioHealth Inc,Biotechnology,75,2,Pending,13
PT000168,Innovative Nanotechnology System 168,2011,2014,Germany,FutureDrive Motors,Robotics,39,3,Active,14
PT000169,Innovative Artificial Intelligence System 169,2015,2019,France,Global Energy Systems,Semiconductors,248,8,Pending,5
PT000170,Innovative Quantum Computing System 170,2024,2026,Japan,Quantum Circuits Ltd,Electric Vehicles,231,4,Expired,11
PT000171,Innovative Telecommunications System 171,2024,2028,France,NanoWorks,Quantum Computing,107,3,Active,13
PT000172,Innovative Artificial Intelligence System 172,2014,2017,India,Global Energy Systems,Quantum Computing,239,2,Pending,14
PT000173,Innovative Biotechnology System 173,2013,2016,Germany,Quantum Circuits Ltd,Electric Vehicles,231,3,Expired,2
PT000174,Innovative Pharmaceuticals System 174,2017,2021,USA,InnovateX,Artificial Intelligence,101,6,Active,7
PT000175,Innovative Semiconductors System 175,2012,2015,USA,Global Energy Systems,Biotechnology,214,6,Active,3
PT000176,Innovative Electric Vehicles System 176,2011,2014,Germany,MedGenome Labs,Electric Vehicles,114,1,Active,1
PT000177,Innovative Renewable Energy System 177,2018,2020,Canada,MedGenome Labs,Nanotechnology,135,7,Active,13
PT000178,Innovative Telecommunications System 178,2019,2021,China,TechNova Corp,Semiconductors,107,8,Active,2
PT000179,Innovative Quantum Computing System 179,2025,2026,Switzerland,NextGen Robotics,Renewable Energy,74,7,Active,10
PT000180,Innovative Nanotechnology System 180,2021,2023,France,BioHealth Inc,Biotechnology,134,6,Active,9
PT000181,Innovative Electric Vehicles System 181,2010,2014,USA,AI Dynamics,Robotics,95,5,Pending,1
PT000182,Innovative Pharmaceuticals System 182,2021,2022,Japan,MedGenome Labs,Biotechnology,197,6,Active,1
PT000183,Innovative Renewable Energy System 183,2021,2024,India,MedGenome Labs,Electric Vehicles,161,3,Active,2
PT000184,Innovative Telecommunications System 184,2024,2025,Japan,TechNova Corp,Semiconductors,226,1,Expired,15
PT000185,Innovative Quantum Computing System 185,2019,2023,India,Quantum Circuits Ltd,Artificial Intelligence,192,4,Expired,6
PT000186,Innovative Telecommunications System 186,2011,2014,China,Global Energy Systems,Robotics,227,7,Pending,8
PT000187,Innovative Renewable Energy System 187,2022,2025,India,MedGenome Labs,Electric Vehicles,94,5,Active,12
PT000188,Innovative Robotics System 188,2023,2024,Switzerland,BioHealth Inc,Quantum Computing,75,6,Active,2
PT000189,Innovative Telecommunications System 189,2020,2023,India,FutureDrive Motors,Robotics,42,8,Expired,8
PT000190,Innovative Nanotechnology System 190,2011,2014,France,Quantum Circuits Ltd,Artificial Intelligence,19,7,Expired,9
PT000191,Innovative Renewable Energy System 191,2015,2016,Switzerland,AI Dynamics,Electric Vehicles,8,3,Active,4
PT000192,Innovative Robotics System 192,2021,2024,Switzerland,TechNova Corp,Nanotechnology,39,8,Expired,6
PT000193,Innovative Nanotechnology System 193,2024,2025,Germany,NanoWorks,Pharmaceuticals,101,6,Pending,5
PT000194,Innovative Artificial Intelligence System 194,2017,2018,Germany,SmartComm Technologies,Quantum Computing,99,2,Expired,13
PT000195,Innovative Semiconductors System 195,2018,2022,Switzerland,Quantum Circuits Ltd,Electric Vehicles,51,2,Active,14
PT000196,Innovative Renewable Energy System 196,2012,2016,India,GreenFuture Labs,Pharmaceuticals,170,6,Pending,2
PT000197,Innovative Renewable Energy System 197,2019,2022,Germany,Global Energy Systems,Quantum Computing,57,2,Active,13
PT000198,Innovative Electric Vehicles System 198,2014,2016,USA,Global Energy Systems,Quantum Computing,146,6,Expired,13
PT000199,Innovative Biotechnology System 199,2014,2015,South Korea,InnovateX,Electric Vehicles,134,7,Expired,14
PT000200,Innovative Pharmaceuticals System 200,2012,2014,China,SmartComm Technologies,Electric Vehicles,174,6,Active,15
PT000201,Innovative Robotics System 201,2015,2017,Canada,TechNova Corp,Biotechnology,132,3,Expired,3
PT000202,Innovative Semiconductors System 202,2015,2018,UK,NanoWorks,Telecommunications,216,2,Expired,4
PT000203,Innovative Telecommunications System 203,2018,2020,Switzerland,NanoWorks,Biotechnology,128,3,Pending,10
PT000204,Innovative Nanotechnology System 204,2014,2016,Switzerland,Global Energy Systems,Nanotechnology,10,1,Active,1
PT000205,Innovative Nanotechnology System 205,2018,2020,France,FutureDrive Motors,Artificial Intelligence,127,5,Pending,5
PT000206,Innovative Robotics System 206,2025,2027,South Korea,SmartComm Technologies,Biotechnology,176,1,Active,8
PT000207,Innovative Electric Vehicles System 207,2023,2027,Japan,Global Energy Systems,Nanotechnology,36,6,Pending,6
PT000208,Innovative Renewable Energy System 208,2021,2025,UK,NanoWorks,Quantum Computing,27,6,Active,8
PT000209,Innovative Electric Vehicles System 209,2013,2016,Japan,BioHealth Inc,Biotechnology,12,5,Expired,14
PT000210,Innovative Renewable Energy System 210,2023,2025,UK,FutureDrive Motors,Pharmaceuticals,48,3,Expired,9
PT000211,Innovative Telecommunications System 211,2024,2028,India,TechNova Corp,Biotechnology,241,7,Pending,8
PT000212,Innovative Nanotechnology System 212,2017,2019,UK,TechNova Corp,Artificial Intelligence,72,8,Pending,15
PT000213,Innovative Quantum Computing System 213,2025,2028,USA,GreenFuture Labs,Robotics,34,5,Pending,6
PT000214,Innovative Artificial Intelligence System 214,2022,2025,France,TechNova Corp,Nanotechnology,143,4,Expired,9
PT000215,Innovative Robotics System 215,2019,2020,Canada,SmartComm Technologies,Quantum Computing,71,2,Active,2
PT000216,Innovative Pharmaceuticals System 216,2022,2025,Canada,Global Energy Systems,Renewable Energy,50,7,Pending,1
PT000217,Innovative Renewable Energy System 217,2011,2012,UK,SmartComm Technologies,Quantum Computing,116,3,Pending,15
PT000218,Innovative Nanotechnology System 218,2014,2017,UK,BioHealth Inc,Robotics,157,5,Pending,6
PT000219,Innovative Electric Vehicles System 219,2025,2028,USA,Global Energy Systems,Pharmaceuticals,172,2,Expired,10
PT000220,Innovative Nanotechnology System 220,2019,2020,India,Quantum Circuits Ltd,Nanotechnology,147,4,Pending,1
PT000221,Innovative Quantum Computing System 221,2025,2027,Switzerland,InnovateX,Renewable Energy,210,4,Active,10
PT000222,Innovative Artificial Intelligence System 222,2013,2015,India,Global Energy Systems,Robotics,38,7,Pending,4
PT000223,Innovative Artificial Intelligence System 223,2023,2027,Germany,NanoWorks,Semiconductors,143,6,Pending,8
PT000224,Innovative Renewable Energy System 224,2022,2025,India,NanoWorks,Pharmaceuticals,139,6,Pending,13
PT000225,Innovative Semiconductors System 225,2018,2022,Japan,Quantum Circuits Ltd,Quantum Computing,76,4,Expired,13
PT000226,Innovative Electric Vehicles System 226,2019,2021,UK,SmartComm Technologies,Pharmaceuticals,143,5,Expired,2
PT000227,Innovative Pharmaceuticals System 227,2022,2026,Germany,Quantum Circuits Ltd,Artificial Intelligence,73,2,Expired,15
PT000228,Innovative Electric Vehicles System 228,2024,2027,Japan,NextGen Robotics,Quantum Computing,69,5,Active,2
PT000229,Innovative Artificial Intelligence System 229,2017,2019,Canada,NextGen Robotics,Semiconductors,13,2,Expired,6
PT000230,Innovative Renewable Energy System 230,2025,2026,USA,NanoWorks,Renewable Energy,104,8,Expired,11
PT000231,Innovative Pharmaceuticals System 231,2016,2019,South Korea,AI Dynamics,Artificial Intelligence,232,2,Pending,10
PT000232,Innovative Renewable Energy System 232,2017,2018,France,BioHealth Inc,Artificial Intelligence,214,7,Expired,3
PT000233,Innovative Artificial Intelligence System 233,2019,2020,South Korea,FutureDrive Motors,Nanotechnology,27,6,Expired,8
PT000234,Innovative Quantum Computing System 234,2025,2027,India,Quantum Circuits Ltd,Semiconductors,207,2,Expired,3
PT000235,Innovative Renewable Energy System 235,2024,2027,USA,MedGenome Labs,Pharmaceuticals,202,5,Pending,11
PT000236,Innovative Nanotechnology System 236,2016,2018,France,InnovateX,Quantum Computing,83,2,Expired,11
PT000237,Innovative Renewable Energy System 237,2013,2015,India,Global Energy Systems,Semiconductors,1,5,Expired,4
PT000238,Innovative Pharmaceuticals System 238,2024,2027,South Korea,FutureDrive Motors,Nanotechnology,2,5,Pending,6
PT000239,Innovative Biotechnology System 239,2017,2018,India,Quantum Circuits Ltd,Renewable Energy,103,5,Pending,2
PT000240,Innovative Nanotechnology System 240,2019,2022,Japan,NextGen Robotics,Renewable Energy,122,3,Expired,12
PT000241,Innovative Quantum Computing System 241,2021,2025,India,NanoWorks,Semiconductors,195,4,Pending,13
PT000242,Innovative Quantum Computing System 242,2012,2016,UK,GreenFuture Labs,Nanotechnology,28,1,Pending,15
PT000243,Innovative Renewable Energy System 243,2016,2018,UK,NanoWorks,Electric Vehicles,29,4,Pending,10
PT000244,Innovative Quantum Computing System 244,2025,2026,India,TechNova Corp,Electric Vehicles,33,7,Expired,10
PT000245,Innovative Telecommunications System 245,2011,2015,USA,InnovateX,Telecommunications,209,1,Pending,4
PT000246,Innovative Robotics System 246,2012,2013,UK,MedGenome Labs,Biotechnology,138,1,Active,15
PT000247,Innovative Telecommunications System 247,2025,2026,France,BioHealth Inc,Renewable Energy,196,7,Expired,15
